S.no,Main Sno,Secondary,Secondary S.no
TNH064,3706,APH054,0
TNH066,3707,APH054,
TNH063,3705,APH080,
TNH062,3704,APH094,
TNH105,3702,APH094,
TNH061,3703,APH106,
TNH087,3701,APH106,
TNH060,3700,APH106,
TNH058,3699,APH117,
TNH057,3698,APH117,
KLH173,3697,APH126,
TNH056,3696,APH126,
TNH055,3695,APH129,
TNH053,3694,APH129,
TNH052,3693,APH129,
TNH051,3692,APH139,
TNH049,3691,APH139,
TNH048,3690,APH145,
TNH047,3689,APH150,
TNH046,3688,APH151,
TNH045,3687,APH152,
TNH040,3685,APH154,
TNH043,3686,KLH010,
TNH042,3684,KLH024,
TNH041,3683,KLH024,
TNH039,3682,KLH024,
TNH038,3681,KLH030,
TNH035,3680,KLH030,
TNH034,3679,KLH038,
TNH033,3678,KLH038,
TNH032,3677,KLH043,
TNH031,3676,KLH043,
TNH029,3675,KLH043,
TNH027,3674,KLH044,
TNH024,3673,KLH056,
TNH023,3672,KLH056,
TNH022,3671,KLH060,
TNH260,3670,KLH073,
TNH021,3669,KLH073,
TNH019,3668,KLH073,
TNH016,3667,KLH094,
TNH015,3666,KLH094,
TNH014,3665,KLH094,
TNH013,3664,KLH101,
TNH012,3663,KLH114,
TNH010,3662,KLH118,
TNH009,3661,KLH131,
TNH008,3660,KLH131,
TNH006,3659,KLH131,
TNH003,3658,KLH132,
TNH001,3657,KLH137,
PYH014,3656,KLH137,
PYH009,3655,KLH141,
PYH003,3654,KLH141,
TGH001,3653,KLH141,
KLH284,3652,KLH142,
KNH259,3651,KLH157,
PYH011,3650,KLH157,
TNH344,3649,KLH157,
TNH340,3648,KLH161,
TNH339,3647,KLH161,
TNH341,3646,KLH169,
TNH342,3645,KLH170,
TNH067,3708,KLH170,
TNH069,3709,KLH181,
TNH072,3710,KLH185,
TNH073,3711,KLH185,
TNH075,3712,KLH186,
TNH076,3713,KLH195,
TNH077,3714,KLH195,
TNH078,3715,KLH200,
TNH079,3716,KLH205,
TNH080,3717,KLH205,
TNH083,3718,KLH205,
TNH084,3719,KLH214,
TNH086,3720,KLH214,
TNH081,3721,KLH218,
TNH082,3722,KLH218,
TNH085,3723,KLH219,
TNH106,3724,KLH223,
TNH102,3725,KLH223,
TNH109,3726,KLH225,
TNH112,3727,KLH225,
TNH113,3728,KLH232,
TNH115,3729,KLH232,
TNH118,3730,KLH248,
TNH119,3731,KLH248,
TNH120,3732,KLH258,
TNH121,3733,KLH273,
TNH123,3734,KLH281,
TNH203,3735,KLH282,
TNH204,3736,KLH282,
TNH124,3737,KLH282,
TNH128,3738,KLH284,
TNH129,3739,KLH284,
TNH130,3740,KLH285,
TNH131,3741,KLH289,
TNH133,3742,KLH289,
TNH134,3743,KLH290,
TNH136,3744,KLH290,
TNH139,3745,KLH291,
TNH140,3746,KLH291,
TNH141,3747,KLH291,
TNH142,3748,KLH292,
TNH144,3749,KLH292,
TNH145,3750,KLH294,
TNH147,3751,KLH294,
TNH148,3752,KLH294,
TNH149,3753,KLH296,
TNH151,3754,KLH296,
TNH152,3755,KLH296,
TNH153,3756,KLH298,
TNH154,3757,KLH298,
TNH155,3758,KLH298,
TNH156,3759,KLH299,
TNH158,3760,KLH299,
TNH159,3761,KLH301,
TNH160,3762,KLH305,
TNH161,3763,KLH305,
TNH162,3764,KLH310,
TNH164,3765,KLH310,
TNH165,3766,KLH312,
TNH166,3767,KLH312,
TNH168,3768,KLH313,
TNH169,3769,KLH313,
TNH199,3770,KLH314,
